seed_identifier,name
1,Code
2,Documentation
3,Working / Interest Groups
4,Education / Training
5,Funds
6,Community Tools
7,Metadata and Registration Templates
8,Provide comments for consideration as enhancements or extensions
9,Contribute to shaping tools and resources
10,User Research
11,Contribute to user research design sprints
12,Contribute reviews
13,Lead and participate in collaborative peer review clubs
14,Participate in user research interviews
15,Participate in user research design sprints
16,Participate in PREreview-facilitated live review sessions
17,Request and participate in special interest Slack channels
18,Development Roadmap
20,Improvement of metadata quality
21,Automated link checking
22,User Research Design Sprints
23,Contribute to governance
24,Usability Testing
